time_s,x_enu_m,y_enu_m,z_enu_m,vx_enu_m_s,vy_enu_m_s,vz_enu_m_s
24.307180353903373,-2.4577373431348244,372.80985618713544,1479.294017951795,-0.10036039689177836,14.061492055337453,-55.72182454927712
24.35966665410056,-2.4629937111810274,373.54773495123374,1476.3568005778943,-0.09993373306124118,14.055471506798716,-56.20129128430625
24.41215295429775,-2.4682275670088707,374.28529094610127,1473.3944312383605,-0.09950206326953076,14.049136970924543,-56.680258302918745
24.464639254494937,-2.4734385774588503,375.0224998424268,1470.4069343314804,-0.09906284779755853,14.042205679114131,-57.158790372507845
24.517125554692125,-2.4786262982746763,375.75932499389586,1467.3943315605193,-0.09861445044521239,14.034497371981763,-57.63692401219327
24.569611854889313,-2.4837902285948674,376.49572359166444,1464.3566435803054,-0.09815637311473857,14.025959894299108,-58.11466270683226
24.6220981550865,-2.488929872715362,377.23165359563814,1461.293891725683,-0.09768929051148363,14.016672339083359,-58.59197834414957
24.68498423480799,-2.495055318795107,378.11273767345943,1457.5913057970697,-0.09712017691198248,14.004826681330316,-59.16323877187676
24.733625453990886,-2.4997685548439352,378.7937206428714,1454.702798556139,-0.09667537376902029,13.995407157154284,-59.60455468232209
24.78226667317378,-2.504460102734351,379.4742450510486,1451.7928379575337,-0.09622880875591101,13.986015375634139,-60.04533526251793
24.830907892356674,-2.5091299232580604,380.15431741197943,1448.8614512544655,-0.0957822894075053,13.976851951925557,-60.485532978028125
24.879549111539568,-2.5137780544520685,380.83395277606047,1445.9086677081327,-0.09533713098311594,13.96806128269949,-60.92511418039959
24.92819033072246,-2.518404581682754,381.51317133649815,1442.9345177772298,-0.09489398792418995,13.95971308138312,-61.36406303077793
24.976831549905356,-2.523009603546429,382.19199458700626,1439.9390322096333,-0.09445277608861108,13.951794153347706,-61.802382958241395
25.038520100759566,-2.528819042722497,383.0523632331169,1436.1094086606981,-0.09389474103045818,13.942222916833098,-62.35740473451637
25.100208651613777,-2.534594046684725,383.91215048419645,1432.24557507915,-0.09333580508605888,13.932882411308942,-62.911517827950114
25.148259184256776,-2.5390683691418947,384.5814568684891,1429.2122855387242,-0.09289764448475529,13.925521904691212,-63.342551023501656
25.196309716899776,-2.5435215478695405,385.2504042919947,1426.1582960534106,-0.09245546531979996,13.917910674509493,-63.773114102751975
25.244360249542776,-2.547953361892361,385.91897760397035,1423.0836286431559,-0.09200827494178451,13.909938354356589,-64.20322673421664
25.292410782185776,-2.552363555311138,386.58715779412483,1419.98830473217,-0.09155561579661159,13.901555023564251,-64.63289396835741
25.340461314828776,-2.5567518663511284,387.2549252619889,1416.8723459113767,-0.09109759561586772,13.89277416373907,-65.06210611209647
25.388511847471776,-2.5611180518676213,387.922262556116,1413.7357745626805,-0.09063483976531082,13.883666972655963,-65.49084105577792
25.436562380114776,-2.5654619076853473,388.5891566310787,1410.5786143322812,-0.0901683621829595,13.874347622088713,-65.9190684964508
25.484612912757775,-2.5697832832978422,389.255600463481,1407.4008904112043,-0.08969937156147742,13.864951333607944,-66.3467549800662
25.532663445400775,-2.5740820868237675,389.92159356919547,1404.2026295674,-0.08922904187541496,13.855608575724277,-66.77386914613562
25.58449480382803,-2.578693785602122,390.63949050316717,1400.7297235341107,-0.08872125102470564,13.845705955515859,-67.23392099713189
25.626655612543257,-2.5824256365789147,391.22306976413637,1397.8872077469937,-0.08830828394274715,13.837831056198919,-67.60761329890737
